company_id,record_id,company_name,open_win,open_draw,open_lose,open_win_prob,open_draw_prob,open_lose_prob,open_payout_rate,cur_win,cur_draw,cur_lose,cur_win_prob,cur_draw_prob,cur_lose_prob,cur_payout_rate,kelly_win,kelly_draw,kelly_lose,change_time,label,flag1,flag2,hist_kelly_win,hist_kelly_draw,hist_kelly_lose
70,151108160,Expekt,2.6,3.15,2.55,35.15,29.01,35.84,91.39,2.6,3.15,2.55,35.15,29.01,35.84,91.39,0.92,0.94,0.89,"2026,03-1,04,10,40,00",Exp*(瑞典),0,0,0.92,0.94,0.89
110,151025028,SNAI,2.5,3.15,2.6,36.3,28.81,34.9,90.74,2.7,3.1,2.5,33.89,29.51,36.6,91.5,0.96,0.92,0.87,"2026,03-1,06,22,25,00",SNA*(意大利),0,0,0.89,0.94,0.90
2,151075571,Betfair,2.6,3.05,2.6,35.06,29.89,35.06,91.15,2.92,3.25,2.74,33.74,30.31,35.95,98.51,1.03,0.97,0.95,"2026,03-1,06,22,26,00",Betfai*(英国),0,1,0.92,0.91,0.90
665,151009924,Betsson,2.32,3.15,3.05,40.05,29.49,30.46,92.91,2.52,3.05,2.88,37.02,30.59,32.39,93.29,0.89,0.91,1.00,"2026,03-1,06,23,05,00",Bets*(瑞典),0,1,0.82,0.94,1.06
352,151158076,Matchbook,2.64,2.94,2.7,34.77,31.23,34,91.8,2.66,3.3,3.05,37.34,30.1,32.56,99.32,0.94,0.98,1.06,"2026,03-1,06,23,13,00",Matchb*(安提瓜和巴布达),0,1,0.94,0.88,0.94
800,150966936,Marathon,2.32,3.26,2.93,39.94,28.43,31.63,92.67,2.74,3.05,2.59,33.83,30.39,35.79,92.68,0.97,0.91,0.90,"2026,03-1,06,22,26,00",马*(荷属安的列斯群岛),0,0,0.82,0.97,1.02
386,150966926,Unibet,2.25,3.2,2.9,40.34,28.36,31.3,90.76,2.7,3.15,2.55,34.29,29.39,36.31,92.59,0.96,0.94,0.89,"2026,03-1,06,22,26,00",优胜*(马耳他),0,0,0.80,0.95,1.01
1017,151162738,BetVictor,2.62,3,2.62,34.8,30.39,34.8,91.18,2.55,3.12,2.8,36.66,29.96,33.38,93.47,0.90,0.93,0.97,"2026,03-1,06,23,05,00",BetVic*,1,0,0.93,0.89,0.91
777,150949006,1Bet,2.25,3.25,2.95,40.73,28.2,31.07,91.65,2.55,3.2,2.75,36.71,29.25,34.04,93.61,0.90,0.95,0.96,"2026,03-1,06,23,05,00",1Be*(直布罗陀),0,0,0.80,0.97,1.03
1047,150941499,1xBet,2.33,3.3,3.01,40.32,28.47,31.21,93.95,2.46,3.38,2.94,38.99,28.38,32.63,95.92,0.87,1.01,1.02,"2026,03-1,06,23,30,00",1xBe*,0,0,0.83,0.98,1.05
